Wave	Shawn LED
658.11	1177.29
658.44	1149.20
658.78	1186.65
659.11	1181.97
659.44	1181.97
659.77	1149.20
660.10	1214.74
660.43	1226.44
660.76	1275.59
661.09	1240.48
661.42	1252.19
661.75	1277.93
662.08	1299.00
662.41	1172.61
662.74	1226.44
663.07	1233.46
663.40	1270.91
663.73	1249.85
664.06	1275.59
664.39	1153.88
664.72	1144.52
665.05	1172.61
665.38	1235.80
665.71	1228.78
666.04	1233.46
666.37	1174.95
666.70	1198.35
667.03	1275.59
667.36	1160.91
667.69	1231.12
668.02	1128.14
668.35	1188.99
668.67	1158.57
669.00	1212.40
669.33	1219.42
669.66	1153.88
669.99	1128.14
670.32	1170.27
670.65	1149.20
670.98	1128.14
671.31	1177.29
671.64	1118.78
671.96	1184.31
672.29	1217.08
672.62	1116.44
672.95	1165.59
673.28	1170.27
673.61	1219.42
673.94	1219.42
674.26	1109.41
674.59	1146.86
674.92	1088.35
675.25	1174.95
675.58	1102.39
675.91	1102.39
676.23	1163.25
676.56	1156.22
676.89	1158.57
677.22	1186.65
677.55	1146.86
677.88	1205.38
678.20	1179.63
678.53	1174.95
678.86	1167.93
679.19	1114.10
679.51	1123.46
679.84	1205.38
680.17	1193.67
680.50	1172.61
680.82	1181.97
681.15	1132.82
681.48	1123.46
681.81	1095.37
682.13	1121.12
682.46	1186.65
682.79	1123.46
683.12	1151.54
683.44	1167.93
683.77	1210.06
684.10	1151.54
684.42	1107.07
684.75	1160.91
685.08	1193.67
685.40	1146.86
685.73	1149.20
686.06	1146.86
686.39	1212.40
686.71	1193.67
687.04	1198.35
687.37	1184.31
687.69	1210.06
688.02	1151.54
688.34	1165.59
688.67	1203.04
689.00	1118.78
689.32	1146.86
689.65	1121.12
689.98	1156.22
690.30	1160.91
690.63	1170.27
690.95	1111.75
691.28	1146.86
691.61	1076.65
691.93	1128.14
692.26	1167.93
692.58	1170.27
692.91	1184.31
693.24	1125.80
693.56	1226.44
693.89	1088.35
694.21	1210.06
694.54	1245.16
694.86	1071.97
695.19	1109.41
695.51	1107.07
695.84	1165.59
696.16	1123.46
696.49	1149.20
696.81	1191.33
697.14	1118.78
697.46	1160.91
697.79	1114.10
698.11	1123.46
698.44	1118.78
698.76	1212.40
699.09	1135.16
699.41	1097.71
699.74	1100.05
700.06	1146.86
700.39	1177.29
700.71	1163.25
701.04	1114.10
701.36	1137.50
701.69	1118.78
702.01	1093.03
702.33	1156.22
702.66	1102.39
702.98	1172.61
703.31	1039.20
703.63	1135.16
703.96	1125.80
704.28	1111.75
704.60	1104.73
704.93	1151.54
705.25	1233.46
705.58	1172.61
705.90	1205.38
706.22	1207.72
706.55	1315.38
706.87	1247.51
707.19	1210.06
707.52	1259.21
707.84	1249.85
708.16	1247.51
708.49	1336.45
708.81	1324.74
709.13	1242.82
709.46	1254.53
709.78	1254.53
710.10	1188.99
710.43	1242.82
710.75	1172.61
711.07	1174.95
711.40	1226.44
711.72	1254.53
712.04	1256.87
712.37	1167.93
712.69	1252.19
713.01	1177.29
713.33	1200.69
713.66	1107.07
713.98	1191.33
714.30	1193.67
714.62	1181.97
714.95	1088.35
715.27	1149.20
715.59	1179.63
715.91	1107.07
716.24	1095.37
716.56	1102.39
716.88	1118.78
717.20	1135.16
717.52	1160.91
717.85	1125.80
718.17	1001.75
718.49	1100.05
718.81	1139.84
719.13	1064.94
719.46	1095.37
719.78	1088.35
720.10	1083.67
720.42	1109.41
720.74	1053.24
721.06	1135.16
721.38	1053.24
721.71	1043.88
722.03	1081.33
722.35	1001.75
722.67	1013.45
722.99	1001.75
723.31	1097.71
723.63	1097.71
723.95	1128.14
724.28	1158.57
724.60	1095.37
724.92	1090.69
725.24	1146.86
725.56	1032.18
725.88	1102.39
726.20	1100.05
726.52	1128.14
726.84	1018.13
727.16	1032.18
727.48	1128.14
727.80	1170.27
728.12	1095.37
728.44	1100.05
728.76	1057.92
729.08	1074.31
729.40	1121.12
729.72	1125.80
730.04	1060.26
730.36	1109.41
730.68	1123.46
731.00	1142.18
731.32	1064.94
731.64	1093.03
731.96	1097.71
732.28	1069.62
732.60	1114.10
732.92	1062.60
733.24	1083.67
733.56	1036.86
733.88	1064.94
734.20	1158.57
734.52	1104.73
734.84	1172.61
735.16	1071.97
735.48	1074.31
735.80	1104.73
736.12	1144.52
736.44	1078.99
736.76	1188.99
